1;Informatique;La science de la gestion de risque (riscologie)  s'appelle les cindyniques (grec : danger).;91;Sa représentation utilise un univers à 5 dimensions:axe modèles, règles, valeurs , mémoire et finalité;102
2;Histoire;Henri  IV a été assassiné par Ravaillac  le 14 mai 1610 près du 10 rue de Ferronnerie (Paris 1). Une plaque au sol marque cet l'emplacement.;140;;0
3;Informatique;Diagramme de causes et effets, diagramme d'Ishikawa, diagramme arêtes de poisson ou 5M est un outil utilisé dans la gestion de la qualité.;138;Les 5 M sont: Matériel (moyen) , Méthodes, Main-d'oeuvre , Milieu, Matière : elles provoquent des effets qui sont Mesurables (6 eme M ?) . Cette méthode est utilisée parfois pour la gestion de risque. ;201
4;Histoire;En 1564, le roi Charles IX a décidé que l'année ne commencerait plus le 1er avril mais le 1er janvier.;102;Il est indirectement à l'origine de la tradition du poisson d'avril. Il est aussi le roi qui ordonna le massacre de la Saint-Barthélemy.;136
5;Industrie;En 1875 Alfred Krupp dessine le logo de son entreprise : trois essieux de chemins de fer superposés.;100; Les roues des wagons et des locomotives ont fait sa renommée;61
6;Sport;Les premières balles de golf était des petites sphères de cuir bourrées de plumes de canard bouillies.;102;Actuellement une balle de golf part à la vitesse de 250 km/h;60
7;Geo;New-York s'appelait à l'origine Nouvelle-Amsterdam. En 1664, les Anglais conquirent la Nouvelle-Amsterdam qui fut rebaptisée « New York »;137;;0
8;Informatique;"Le langage Ruby a été créé au Japon, par Yukihiro ""Matz"" Matsumoto en 1993. Son nom est un hommage à son ancêtre 'Perl'";119;;0
9;Geo;Lombard Street est une rue de San Francisco, en Californie. C'est la plus sinueuse des USA grâce à un tronçon de 8 virages en épingle.;134;;0
10;Industrie;C'est dans l'état du Nevada que la première Google Car a été mise en circulation. Il s'agit d'une voiture (Prius)  sans conducteur;130; Et même si aucun humain n'a besoin de conduire cette Google Car, la loi du Nevada oblige pour le moment deux personnes à être dans la voiture lorsqu'elle est en mouvement.;172
11;Informatique; Les premiers geeks se  reconnaissaient grâce à l'accessoire:Pocket Protector.;78;Glissée dans la poche de la chemise, elle la  protège des pointes des stylos. ;78
12;Industrie;Le pont Rion-Antirion en grèce,d'une longueur totale de 2 883 mètres, relie deux plaques tectoniques en mouvement.;114;Il peut résister à un séisme de force 7 de magnitude sur l'échelle de Richter et à des vents de 180 km/h;104
13;Geo;La capitale du LAOS est Vientiane. Il est placé entre la Thailande et le Vietnam. Son ancien nom est l'indochine;112;;0
14;Geo;Las Vegas a été fondé en 1855 par des fermiers mormons. Sa capacité d’hébergement en fait la première ville hôtelière du monde;126;Les casinos et les hotels sont concentrés autour de l'artère principale qui s'appelle le 'strip'. ;98
15;Sport;Le marathon est une course d’une distance de 42,195 km. Son origine remonte à Phidippidès, un messager grec. ;109;;0
16;Industrie;Les meilleures fermetures à glissière sont de la marque japonaise YKK qui est l’acronyme de Yoshida Kogyo Kabushikikaisha ;122;Comme Apple, YKK maitrise toute la chaine de production y compris celle des embalages.;86
17;Informatique;Les premières applications métier  WEB datent des années 1990 alors que le concept MVC qui les structure a été inventé en 1979.;127;Le motif de conception  MVC : modèle - Vue - controleur a été inventé par  Trygve Reenskaug, qui travaillait alors sur Smalltalk dans les laboratoires de recherche Xerox PARC;174
18;Industrie;Il existe deux types de capteurs pour les appareils photos numeriques: les Full frame et les APS-C. ;100;Le capteur Full frame est plus gros et se rapproche du format 24X36. Il est à  réservé pour un usage semi-professionnel;119
19;Industrie;SpaceX est l'un des deux prestataires privés à qui la NASA a confié un contrat de transport de fret vers la station orbitale ISS.;129;Cette entreprise dispose d'un lanceur: le Falcon9 et d'un vaisseau le Dragon. La deuxieme société est Orbital Sciences.;119
20;Sport;Le club de football de Montpellier a terminé 1er du championnat de France 2012 avec le 13eme budget de la L1. ;110;;0
21;Informatique;Node.js est un programme permettant d'exécuter du javascript sur un ordinateur. Il fonctionne comme une machine virtuelle.;122;Il est construit à partir des librairies du moteur d'exécution javascript (le V8)  du navigateur Chrome.Node.js fonction sur le modèle d'une boucle d’évènement non blocante. ;174
22;Informatique;Sinatra est framework WEB écrit en Ruby. Son originalité est qu'il se présente comme un DSL pour les développeurs WEB;117;Pour Node.js , Express remplie le même role que Sinatra.;56
23;Industrie;Le mot Kaizen signifie 'bon changement'. C'est une méthode de managemnt visant à une amélioration continue et par petites touches ;130; le kaizen tend à inciter chaque travailleur à réfléchir sur son lieu de travail et à proposer des améliorations. Contrairement à l'innovation, le kaizen ne demande pas beaucoup d'investissements financiers mais de la motivation personnelle.;241
24;Informatique;Un ORM   (Object-Relational Mapping)  est un dispositif qui permet de mettre ne relation une instance d'objet avec sa représentation en BDD;139;On pourrait le désigner par « correspondance entre monde objet et monde relationnel ». Un ORM prend en charge la traduction d'appel de méthode en  SQL. On peut citer comme ORM : Hibernate, ActiveRecord;201
25;Informatique;Pinterest est un site web  permettant aux utilisateurs d'épingler des contenus (photos ou vidéo)  liés à leurs centres d'intérêt. ;130;<a href=http://pinterest.com> Lien vers le site</a>;51
26;Histoire;La date du 21/12/12 marque la fin d’un cycle du calendrier maya. Certains prédisent  la fin du monde pour cette date;116;Divers alignements astronomiques et formules numérologiques concernant cette date ont été proposés mais aucune inscription maya n'évoque la moindre prédiction de fin du monde;174
27;Histoire; La Melencolia est le nom d'une gravure sur cuivre de Dürer datée de 1514. Derrière l'ange figure un carré magique dont la valeur est 34. ;138;Ce carré est un type particulier de carré magique: la somme dans l'un de ses quatre quadrants, ainsi que la somme des nombres du carré du milieu, valent également 34, la valeur du carré6. C'est un carré magique gnomon.;218
28;Industrie;Robert Moog est l'inventeur du synthétiseur en 1964. Son usine 'Moog' emploiera  42 personnes et proposera plus de vingt-cinq modèles ;134;;0
29;Industrie;La sonde Voyager 'I' était équipée de 6 calculateurs pour un total de 32K. Son lancement remonte à 1977;103;Sa mission principale était d'étudier les planètes géantes Jupiter et Saturne.;78
30;Industrie;Le DURP est le Document Unique d'évaluation des Risques Professionnels;70;Le décret N° 2001-1016 du 5 novembre 2001 relatif à l'hygiéne et la sécurité crée l'obligation pour toute entreprise, quels que soient la nature de leur activité ou leur effectif, de transcrire dans un document annuel unique le résultat de l'évaluation des risques professionnels pour la santé et la sécurité des salariés;321
31;Histoire;La bataille de Valmy est une bataille  (canonnade) ayant opposé la Prusse et la France  20 septembre 1792;105; Les Austro-Prussiens engagés étaient 5 fois plus nombreux que les francais;75
32;Divers;Sur la route  (on the road) est un roman de Jack Kerouac paru en 1957. Il a été ecrit sur un rouleau de 36 metres;113;Il est le roman emblématique de la Beat-generation;50
33;Divers;Marilyn  Monroe est morte à 36 ans le 4 aout 1962. Sa scène la plus fameuse est celle ou sa jupe se soulève sur une grille d'aération ;134;Cette scène est tirée du film 'sept ans de reflexion';53
34;Histoire;Charlemagne était un gaillard plutot costaud pour l'époque. Mais il avait une voix de fausset suite à une blessure de chasse à la gorge;135;;0
35;Industrie;L'organisation scientifique du travail a été inventé par Taylor (1881). C'est Henry Ford qui le mettra en pratique cette méthode;128;En plus de la division horizontale du travail (chaine), il introduit un découpage vertical : conception , réalisation;117
